ID,Country of Residence,Nationality,Gender,Age,Marital status,Field of Research,Designation [Career Stage],Work environment,Please indicate the total number of MALE group leaders/ bosses you have worked with.,Please indicate the total number of FEMALE group leaders/ bosses you have worked with.,Please indicate below the gender of your current boss.,Indicate the level of support that you have received from your MALE colleagues in the following roles? [Group leader],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Colleagues],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Clients],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Collaborators],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Parents],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Spouse],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Friends],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Group leader],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Colleagues],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Clients],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Collaborators],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Parents],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Spouse],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Friends],Have you faced workplace gender-bias/discrimination?  [Male collegue],Have you faced workplace gender-bias/discrimination?  [Female collegue],"If you have answered yes in the previous question, please specify from the following :",Have you witnessed workplace gender-bias/discrimination (directed towards other colleagues)?  [Male],Have you witnessed workplace gender-bias/discrimination (directed towards other colleagues)?  [Female],"If you have answered yes in the previous question, please specify from the following :",Did you personally respond to the incident?,Did you report the issue to the appropriate authority? ,Who is responsible for addressing such complaints in your work environment? ,How seriously were your complaints taken? ,How comfortable were you in objecting against and/or reporting this issue?,"Was there any POSITIVE impact/outcome from reporting the incident? (e.g. positive change in policy, setting an example for others, support from colleagues, better work environment etc.)","Was there any NEGATIVE impact/outcome from reporting the incident? (e.g. threats, grudges, emotional-distress, isolation at work, disapproval of colleague(s), unfriendly work environment etc.)",Who would you choose/prefer to work with? [Male boss/leader],Who would you choose/prefer to work with? [Female boss/leader],"How are leadership opportunities delegated to at your workplace (e.g. leading a project or a meeting, supervising, planning etc.)? [Male collegues]","How are leadership opportunities delegated to at your workplace (e.g. leading a project or a meeting, supervising, planning etc.)? [Female collegues]","Who performs the tasks not directly related to the scientific responsibilities ? (e.g. cleaning, arranging and organizing things in the lab, recording minutes of meetings etc.)  [Male collegues]","Who performs the tasks not directly related to the scientific responsibilities ? (e.g. cleaning, arranging and organizing things in the lab, recording minutes of meetings etc.)  [Female collegues]","Who volunteers for tasks that benefit the group or organization but not professionally? (e.g. making lab reagents, organizing outings, distributing information/flyers.) [Male collegues]","Who volunteers for tasks that benefit the group or organization but not professionally? (e.g. making lab reagents, organizing outings, distributing information/flyers.) [Female collegues]","If you volunteer for the above mentioned activities, please tell us what incentivizes you.","If you don't volunteer for the above mentioned activities, please tell us your reasons below. ",Have you ever been involved in activities or events to specifically to show support towards your female colleagues or colleagues from other minority groups?,"If your response to the previous question is YES, please provide more details about 'your involvement', 'nature of the event/activity', and 'impact of the event/activity'?",What kind of support at a workplace is most important for empowering female employees or employees from other minority groups?,Do you feel your workplace policies help you manage your professional and personal life?,"What is your group leader’s attitude towards personal leave (pregnancy, maternity/paternity leave, adoption, illness, family etc.) ?",Does your workplace offer sufficient leave of absence for personal reasons?  [Maternity leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Paternity leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Sick leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Family Leave],Does your workplace offer one or several of the following childcare and related support?
196,India,India,Female,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",Administrative,Non-profit institution,5,0,Male,Moderately,Mostly,Mostly,Mostly,Mostly,Not Available,Always,Moderately,Moderately,Moderately,Not Available,Mostly,Not Available,Always,Not sure,Not sure,,No,No,,"No, I was afraid of furthering the issue.","No, I was afraid of being misjudged.",I don't know.,No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, Future non-addressal of work related queries from concerned colleagues or lack of proper response",Yes,Maybe,Always,Always,Rarely,Mostly,Sometimes,Mostly,Happy to volunteer if that would make a difference to workplace environment. But not all workplaces are the same and some environments are inherently equivalent to a rat race. ,I don't in places where it feels like I am a rat running a race. ,Yes,I was part of the student group Concern while in IISc. If I have had a positive interaction with a colleague I try to make a conscious effort to be supportive in situations they find hard. But I have always preferred to be neutral in such roles. Being neutral I feel doesn't always cloud your judgment. Of course certain situations demand added sensitivity and I believe I have the judging capabilities required to distinguish between the two. ,"Neutral or somewhat left liberal support- if I am blatantly political in choosing my words. While support is definitely necessary for both female employees and minority groups, a balanced approach is expected of the boss/team leader. In most cases in my experience it is this balance that I have found lacking which is why empowerment of women or minority groups in the workplace is still some time away. Empowerment is an exception, very far from being the norm. ",Never,Neutral,Insufficient,None,Insufficient,None,"Extension of work contract to cover the personal leave, Flexible HR policy or other administrative support, Financial support for getting a helping hand or intern to help at work during pregnancy/ illness, On-site or subsidized childcare (nursery, kindergarten)"
197,United States,India,Male,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,0,3,Female,Not Available,Always,Always,Always,Moderately,Not Available,Always,Always,Always,Always,Always,Mostly,Not Available,Always,No,No,,Not sure,Yes,"Gender bias, Emotional harrassment","Yes, but I responded later.",My colleague requested I not report the issue.,Human Resources,No actions were taken.,Somewhat comfortable,No,No,Maybe,Yes,Sometimes,Sometimes,Sometimes,Mostly,Rarely,Always,I just like getting the group together. ,,Yes,Showing up to their seminars,A sense of solidarity,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,Flexible HR policy or other administrative support
198,India,India,Female,40 - 50,Married,"Science outreach, communication",Director,Non-profit institution,4,3,Female,Mostly,Mostly,Moderately,Moderately,Always,Always,Moderately,Mostly,Moderately,Moderately,Mostly,Mostly,Not Available,Always,Yes,Yes,"Gender Bias, Mental harrassment",Yes,Yes,"Gender bias, Mental harrassment","Yes, I immediately responded.","Yes, I reported the issue.",Designated committee,Strict actions were taken.,Somewhat comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, Setting example and support from other collaegues",No,Yes,Yes,Mostly,Sometimes,Sometimes,Mostly,Sometimes,Sometimes,,,"No, but I want to get involved",,support of female collaegues,Mostly,Neutral,Insufficient,Insufficient,Sufficient,Sufficient,"Career support programs (meeting, workshop etc.) to empower working mothers"
199,United States,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,1,1,Male,Always,Always,Mostly,Mostly,Always,Always,Mostly,Always,Always,Mostly,Always,Always,Always,Always,No,No,,No,No,,,,,,,,,Yes,Yes,Always,Always,Sometimes,Always,Sometimes,Always,,,"No, I don’t have such opportunities",,,Sometimes,Supportive,None,Sufficient,Sufficient,Sufficient,"Career support programs (meeting, workshop etc.) to empower working mothers"
200,India,India,Female,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,5,2,Male,Moderately,Rarely,Mostly,Moderately,Always,Not Available,Moderately,Moderately,Mostly,Mostly,Mostly,Always,Not Available,Mostly,Yes,Not sure,"Gender Bias, Exclusion",Yes,Not sure,"Gender bias, Exclusion","No, I did not bother.","No, I did not bother to report.",I don't know.,Not filed complaint ,Not comfortable,Not filed complaint ,Not filed complaint ,Maybe,Maybe,Mostly,Sometimes,Rarely,Always,Sometimes,Mostly,"Goodwill of labmates, following lab rules",,"No, I don’t have time for such activities",,"Work life balance, part time/flexitime working options, more women in decision making positions, good and convenient childcare facilities and subsidized housing close to labs ",Rarely,Unwelcome,Sufficient,Insufficient,Insufficient,Insufficient,"Extension of work contract to cover the personal leave, Nursing room(s)"
201,India,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Professor,University,3,0,Male,Mostly,Mostly,Moderately,Always,Moderately,Not Available,Always,Moderately,Moderately,Rarely,Mostly,Always,Always,Moderately,Not sure,Not sure,,Not sure,Not sure,,Never happened to face such incedent,Never happened to face such incedent,I don't know.,NA,NA,NA,NA,Maybe,Maybe,Mostly,Sometimes,Mostly,Sometimes,Mostly,Mostly,NA,NA,Yes,Curriculum related,Discrimination free,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,Financial support for getting a helping hand or intern to help at work during pregnancy/ illness
202,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Senior Scientist,Research institution,2,1,Male,Always,Moderately,Rarely,Rarely,Moderately,Always,Mostly,Moderately,Moderately,Never,Rarely,Mostly,Always,Moderately,Yes,Yes,Gender Bias,Not sure,Not sure,,"No, I did not know how to respond so I let it pass.","No, I did not know whom to report.",I don't know.,No actions were taken.,Not comfortable,No,No,Yes,Maybe,Mostly,Mostly,Sometimes,Mostly,Sometimes,Mostly,,,"No, I don’t have such opportunities",,,Sometimes,Supportive,Insufficient,None,Insufficient,Insufficient,"Extension of work contract to cover the personal leave, Nursing room(s)"
203,Canada,India,Female,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",Administrative,Research institution,3,0,Male,Always,Mostly,Mostly,Moderately,Rarely,Not Available,Mostly,Not Available,Mostly,Mostly,Not Available,Always,Not Available,Always,Yes,Yes,Gender Bias,Yes,Yes,Gender bias,"No, I did not know how to respond so I let it pass.","No, I was afraid of being misjudged.",I don't know.,,Not comfortable,,,Yes,Yes,Mostly,Mostly,Sometimes,Always,Sometimes,Always,,,"No, but I want to get involved",,,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,Not sure
204,India,India,Female,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",Technical staff,Research institution,4,0,Male,Mostly,Always,Not Available,Not Available,Mostly,Not Available,Mostly,Not Available,Moderately,Not Available,Not Available,Always,Not Available,Rarely,No,No,,No,No,,"Yes, I immediately responded.",,,,,,,Yes,Maybe,Mostly,Mostly,Always,Never,Mostly,Mostly,,,"No, I don’t have time for such activities",,,Always,Neutral,Sufficient,Sufficient,Insufficient,Insufficient,None
205,United States,India,Female,20 - 30,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,3,3,Female,Mostly,Mostly,Not Available,Not Available,Always,Not Available,Always,Moderately,Moderately,Not Available,Not Available,Always,Not Available,Mostly,Yes,Yes,"Gender Bias, Emotional harrassment",Yes,Not sure,Mental harrassment,"Yes, but I responded later.","No, I did not know whom to report.","Supervisor, Human Resources, Designated committee",,,,,Maybe,Maybe,Mostly,Sometimes,Sometimes,Mostly,Mostly,Sometimes,,,Yes,,,Mostly,Neutral,None,None,Sufficient,None,Flexible HR policy or other administrative support
206,Netherlands,India,Female,30 - 40,Don't want to specify,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,4,0,Male,Always,Moderately,Not Available,Mostly,Always,Always,Always,Always,Always,Not Available,Always,Always,Always,Always,Yes,No,"Gender Bias, Mental harrassment",No,No,,"Yes, but I responded later.","Yes, I reported the issue.","Supervisor, Human Resources",No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, unfriendly work environment",Maybe,Yes,Mostly,Mostly,Mostly,Always,Sometimes,Always,"being part of the group, doing some thing for the group",dont get recognition for such tasks,"No, but I want to get involved",,creating a safe environment for them to share their problems,Sometimes,Supportive,Sufficient,None,Sufficient,Sufficient,Extension of work contract to cover the personal leave
207,United States,India,Female,40 - 50,Married,"Science, Technology, Engineering, Mathematics [STEM]",Assistant professor ,University,1,1,Female,Mostly,Mostly,Mostly,Mostly,Always,Mostly,Always,Always,Always,Always,Always,Always,Not Available,Always,Yes,No,"Gender Bias, Mental harrassment",Yes,Yes,"Gender bias, Emotional harrassment, Mental harrassment","No, I did not know how to respond so I let it pass.","No, I did not know whom to report.",Human Resources,NA,Not comfortable,NA,,Maybe,Yes,Always,Mostly,Mostly,Always,Sometimes,Always,Personal satisfaction ,Considered as the default person ,"No, but I want to get involved",,The support of the PI,Never,Supportive,Insufficient,None,Insufficient,Insufficient,"Career support programs (meeting, workshop etc.) to empower working mothers"
208,Lithuania,Lithuania,Female,30 - 40,Social Partnership,Biomedicine,Post doc,University,3,2,Male,Moderately,Always,Mostly,Always,Always,Always,Always,Moderately,Moderately,Moderately,Mostly,Mostly,Rarely,Mostly,Yes,Yes,"Gender Bias, Sexual harrassment, Emotional harrassment, Mental harrassment",Yes,Yes,"Gender bias, Emotional harrassment, Mental harrassment","Yes, but I responded later.","Yes, I reported the issue.",I don't know.,No actions were taken.,Somewhat comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, My female boss was obladged to let me defend my phd thesis. Some of the master students finished without any defense as well as some of the phds.","Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, I finished without publication. She never published my data. Just included it as continuation for a new phd student.",Yes,Maybe,Mostly,Sometimes,Rarely,Always,Rarely,Mostly,I profoundly dislike to be responsible for a duties which are classically described as - female. ,,"No, but I want to get involved",,Giving more project and leadership opportunities. Understanding that women are not less but equal to men!,Never,Never discussed,Sufficient,Insufficient,Sufficient,Insufficient,None
209,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,4,1,Male,Moderately,Mostly,Not Available,Mostly,Always,Always,Always,Moderately,Mostly,Not Available,Moderately,Always,Always,Always,No,No,,Not sure,Not sure,,Never faced such an incident,Never faced such an incident ,Human Resources,,,,,Maybe,Maybe,Sometimes,Mostly,Sometimes,Mostly,Rarely,Mostly,,,"No, I don’t have such opportunities",,,Sometimes,Neutral,Sufficient,Insufficient,Sufficient,Sufficient,"On-site or subsidized childcare (nursery, kindergarten), Nursing room(s)"
210,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,2,1,Male,Mostly,Mostly,Not Available,Moderately,Always,Always,Always,Mostly,Mostly,Not Available,Not Available,Always,Not Available,Always,No,No,,No,Yes,Gender bias,"No, I did not know how to respond so I let it pass.","No, I was afraid of being misjudged.",I don't know.,,Not comfortable,,,Yes,Yes,Mostly,Sometimes,Rarely,Always,Rarely,Mostly,To make my work place function effectively,,Yes,Member of WIS group at my work place,Equal opportunity and unconscious bias ,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Flexible HR policy or other administrative support, On-site or subsidized childcare (nursery, kindergarten), Nursing room(s)"
211,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Technical Application Scientist,Industry,2,2,Female,Mostly,Moderately,Moderately,Mostly,Always,Always,Mostly,Mostly,Always,Moderately,Mostly,Always,Moderately,Always,No,No,,No,Yes,Sexual harrassment,Not a colleague of mine,Not my colleague but a friend,"Supervisor, Human Resources",N/A,Somewhat comfortable,,,Maybe,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,Yes,,"Flexible schedule, child care options",Mostly,Supportive,Insufficient,Insufficient,None,Sufficient,Flexible HR policy or other administrative support
212,India,India,Female,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,3,0,Male,Moderately,Mostly,Not Available,Moderately,Always,Not Available,Moderately,Not Available,Moderately,Not Available,Moderately,Always,Not Available,Moderately,Not sure,Not sure,,Not sure,Not sure,,"No, I did not know how to respond so I let it pass.","No, I did not know whom to report.",Supervisor,,Somewhat comfortable,,,Maybe,Maybe,Sometimes,Mostly,Sometimes,Sometimes,Sometimes,Sometimes,,,"No, but I want to get involved",,,Rarely,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Career support programs (meeting, workshop etc.) to empower working mothers"
213,Germany,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Group leader,Children’s Hospital,11,9,Male,Moderately,Mostly,Mostly,Mostly,Mostly,Always,Always,Moderately,Mostly,Mostly,Mostly,Mostly,Always,Always,Yes,Yes,"Gender Bias, Mental harrassment",Yes,Yes,Gender bias,"No, I was afraid of furthering the issue.","No, I was afraid of being misjudged.",Human Resources,I never complained due to above mentioned reasons  ,Not comfortable,Never reported any incidence ,Never reported ,Yes,Yes,Always,Always,Rarely,Always,Always,Always,,,Yes,Involved in groups advocating for women outside work area ,By considering female availability for any kind of job will be equal as male availability. ,Always,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Flexible HR policy or other administrative support, Career support programs (meeting, workshop etc.) to empower working mothers"
214,Czech Republic,India,Male,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,Research institution,2,3,Male,Always,Always,Mostly,Mostly,Always,Not Available,Always,Mostly,Always,Mostly,Always,Always,Not Available,Always,No,No,,No,No,,"Yes, I immediately responded.","Yes, I reported the issue.","Human Resources, Designated committee",Strict actions were taken.,Somewhat comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",,Yes,Yes,Always,Always,Mostly,Mostly,Mostly,Mostly,,,"No, I don’t have such opportunities",,,Mostly,Neutral,Insufficient,Insufficient,Sufficient,Insufficient,None
215,Czech Republic,India,Male,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,Research institution,3,1,Female,Mostly,Always,Not Available,Moderately,Always,Not Available,Mostly,Moderately,Moderately,Not Available,Not Available,Always,Not Available,Mostly,Yes,Not sure,Mental harrassment,No,No,,,,Supervisor,,,,,Maybe,Maybe,Never,Always,Mostly,Mostly,Mostly,Mostly,,,"No, I don’t have time for such activities",,,Mostly,Neutral,Sufficient,Sufficient,Sufficient,Sufficient,"Flexible HR policy or other administrative support, Changing platform for babies only in ladies toilets"
216,United States,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,2,1,Female,Mostly,Mostly,Not Available,Mostly,Moderately,Not Available,Always,Moderately,Mostly,Not Available,Always,Mostly,Always,Mostly,No,No,,No,No,,,,Supervisor,,,,,Yes,Yes,Mostly,Mostly,Rarely,Always,Mostly,Mostly,,,"No, I don’t have such opportunities",,,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Career support programs (meeting, workshop etc.) to empower working mothers, On-site or subsidized childcare (nursery, kindergarten)"
217,Italy,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,Research institution,2,2,Female,Always,Mostly,Moderately,Mostly,Mostly,Mostly,Moderately,Rarely,Moderately,Moderately,Moderately,Mostly,Not Available,Moderately,No,Do not wish to answer,"Emotional harrassment, Mental harrassment",Not sure,Not sure,,"Yes, but I responded later.","Yes, I reported the issue.","Colleague, Supervisor",No actions were taken.,Not comfortable,No,No,Yes,No,Never,Always,Never,Always,Sometimes,Sometimes,,,Yes,,,Rarely,Unwelcome,Insufficient,None,Sufficient,Insufficient,None
218,Czech Republic,Belarus,Female,20 - 30,Married,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,Research institution,3,1,Male,Mostly,Mostly,Moderately,Moderately,Rarely,Always,Mostly,Moderately,Mostly,Mostly,Moderately,Mostly,Not Available,Mostly,No,No,,Yes,No,Gender bias,"No, I did not know how to respond so I let it pass.","No, I did not know whom to report.",I don't know.,,,,,Maybe,No,Always,Mostly,Sometimes,Mostly,Sometimes,Sometimes,,,"No, but I want to get involved",,,Rarely,Neutral,Insufficient,Insufficient,Sufficient,Insufficient,None
219,Czech Republic,Poland,Female,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,2,3,Male,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,No,No,,No,No,,"No, I did not bother.","No, I did not bother to report.",I don't know.,No actions were taken.,Not comfortable,No,No,Maybe,Maybe,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,,,"No, I don’t have time for such activities",,,Always,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Extension of work contract to cover the personal leave, Financial support for getting a helping hand or intern to help at work during pregnancy/ illness"
